cidade;ano;vivos;perinatais;maformacao;respiratorio;infecparasit
3500000;2021;172;6;0;0;0
3500105;2021;356;2;3;0;0
3500204;2021;48;0;1;0;0
3500303;2021;374;1;2;0;1
3500402;2021;60;;;;
3500501;2021;198;0;1;0;0
3500550;2021;71;1;0;0;0
3500600;2021;30;;;;
3500709;2021;490;4;3;0;0
3500758;2021;66;;;;
3500808;2021;50;;;;
3500907;2021;35;;;;
3501004;2021;176;2;0;0;0
3501103;2021;32;1;0;0;0
3501152;2021;221;1;0;0;0
3501202;2021;29;;;;
3501301;2021;307;0;0;0;1
3501400;2021;36;;;;
3501509;2021;35;2;0;0;0
3501608;2021;2398;13;12;0;0
3501707;2021;419;4;1;0;1
3501806;2021;56;;;;
3501905;2021;768;1;1;0;0
3502002;2021;38;;;;
3502101;2021;643;6;2;0;0
3502200;2021;337;2;1;0;0
3502309;2021;72;1;0;0;0
3502408;2021;39;0;1;0;0
3502507;2021;358;2;0;0;1
3502606;2021;37;1;0;0;0
3502705;2021;286;5;1;0;0
3502754;2021;325;1;1;0;0
3502804;2021;2106;18;2;0;0
3502903;2021;381;0;1;0;0
3503000;2021;53;1;0;0;0
3503109;2021;88;1;0;0;0
3503158;2021;21;;;;
3503208;2021;2568;16;3;0;0
3503307;2021;1397;13;0;0;1
3503356;2021;22;;;;
3503406;2021;83;0;0;0;0
3503505;2021;60;1;0;0;0
3503604;2021;117;0;1;0;0
3503703;2021;88;0;1;0;0
3503802;2021;643;1;0;0;0
3503901;2021;1328;1;6;1;1
3503950;2021;20;;;;
3504008;2021;1018;6;1;0;0
3504107;2021;2011;12;2;1;1
3504206;2021;130;1;1;0;0
3504305;2021;67;;;;
3504404;2021;129;2;0;0;0
3504503;2021;1113;9;3;0;0
3504602;2021;345;2;1;0;0
3504701;2021;16;;;;
3504800;2021;79;2;0;0;0
3504909;2021;73;2;0;0;0
3505005;2021;47;1;0;0;0
3505104;2021;76;1;0;0;0
3505203;2021;369;2;1;1;1
3505302;2021;329;2;1;0;0
3505351;2021;77;1;0;0;0
3505401;2021;78;1;0;0;0
3505500;2021;1402;5;1;1;0
3505609;2021;383;2;1;0;0
3505708;2021;5168;19;6;3;2
3505807;2021;264;3;1;0;0
3505906;2021;668;6;4;0;0
3506003;2021;4234;19;13;1;6
3506102;2021;781;4;3;0;1
3506201;2021;26;;;;
3506300;2021;105;;;;
3506359;2021;990;8;2;1;1
3506409;2021;52;;;;
3506508;2021;1255;8;1;0;0
3506607;2021;366;0;0;0;0
3506706;2021;170;;;;
3506805;2021;120;1;2;0;0
3506904;2021;107;0;2;0;0
3507001;2021;748;7;1;0;1
3507100;2021;287;1;1;0;0
3507159;2021;65;;;;
3507209;2021;8;;;;
3507308;2021;72;2;0;0;0
3507407;2021;122;;;;
3507456;2021;37;0;1;0;0
3507506;2021;1614;9;4;1;0
3507605;2021;2060;9;7;1;0
3507704;2021;76;1;0;0;0
3507753;2021;29;;;;
3507803;2021;299;0;1;0;0
3507902;2021;290;2;4;0;0
3508009;2021;293;3;3;0;0
3508108;2021;155;2;0;0;0
3508207;2021;41;;;;
3508306;2021;40;2;0;0;0
3508405;2021;728;6;1;2;0
3508504;2021;1103;4;2;0;1
3508603;2021;355;3;1;0;0
3508702;2021;181;2;1;0;0
3508801;2021;194;1;1;1;0
3508900;2021;46;2;1;0;0
3509007;2021;1185;6;1;0;0
3509106;2021;36;;;;
3509205;2021;1350;7;1;0;1
3509254;2021;423;3;0;0;0
3509304;2021;89;;;;
3509403;2021;289;1;1;0;0
3509452;2021;63;1;0;0;0
3509502;2021;12830;57;34;5;6
3509601;2021;891;8;6;0;1
3509700;2021;620;1;1;1;0
3509809;2021;60;;;;
3509908;2021;166;1;0;0;1
3509957;2021;82;1;0;0;0
